Entity,Code,AvgLifeExpectancy
Finland,FIN,74.34341527777778
France,FRA,75.56609861111112
French Guiana,GUF,67.09749027777778
French Polynesia,PYF,70.28390138888889
Gabon,GAB,56.550781944444445
Gambia,GMB,48.313161111111114
Georgia,GEO,67.00221527777778
Germany,DEU,74.59368611111111
Ghana,GHA,53.67104861111111
Gibraltar,GIB,75.03972777777778
Greece,GRC,75.26670833333333
Greenland,GRL,63.88200833333333
Grenada,GRD,68.31326805555555
Guadeloupe,GLP,70.57421944444445
Guam,GUM,69.49900972222223
Guatemala,GTM,58.43332916666667
Guernsey,GGY,76.717325
Guinea,GIN,46.27092638888889
Guinea-Bissau,GNB,45.940734722222224
Guyana,GUY,61.90553888888889
Haiti,HTI,52.05600277777778
Honduras,HND,60.789125
Hong Kong,HKG,75.33171527777777
Hungary,HUN,70.37489027777778
Iceland,ISL,77.30856388888888
India,IND,56.059354166666665
Indonesia,IDN,58.752602777777774
Iran,IRN,59.86475
Iraq,IRQ,60.812531944444444
Ireland,IRL,74.33909305555555
Isle of Man,IMN,71.06258749999999
Israel,ISR,75.5017125
Italy,ITA,75.53670138888889
Jamaica,JAM,68.57504166666666
Japan,JPN,76.20223472222222
Jersey,JEY,75.20254166666666
Jordan,JOR,64.9627388888889
Kazakhstan,KAZ,63.26042916666667
Kenya,KEN,55.16798611111111
Kiribati,KIR,58.154019444444444
Kosovo,OWID_KOS,69.29077638888889
Kuwait,KWT,69.62286666666667
Kyrgyzstan,KGZ,62.08929444444445
Laos,LAO,52.01957222222222
Latvia,LVA,70.52066111111111
Lebanon,LBN,68.05206527777777
Lesotho,LSO,51.536831944444444
Liberia,LBR,46.798519444444445
Libya,LBY,60.84208333333333
Liechtenstein,LIE,71.81306666666667
Lithuania,LTU,71.11065694444444
Luxembourg,LUX,74.11192777777778
Macao,MAC,74.67881388888888
Madagascar,MDG,52.43505694444444
Malawi,MWI,44.68480972222222
Malaysia,MYS,67.05011111111111
Maldives,MDV,58.87255138888889
Mali,MLI,43.076225
Malta,MLT,74.01658333333333
Marshall Islands,MHL,60.24477916666667
Martinique,MTQ,71.6689763888889
Mauritania,MRT,55.283093055555554
Mauritius,MUS,65.63487916666666
Mayotte,MYT,67.28314861111112
Mexico,MEX,65.46291527777778
Micronesia (country),FSM,64.43659722222222
Moldova,MDA,65.20607916666667
Monaco,MCO,77.2515486111111
Mongolia,MNG,56.96235277777778
Montenegro,MNE,71.37602222222222
Montserrat,MSR,67.62025416666667
Morocco,MAR,57.90031527777778
Mozambique,MOZ,46.043845833333336
Myanmar,MMR,54.47595
Namibia,NAM,54.56288888888889
Nauru,NRU,60.12696111111111
Nepal,NPL,52.69111388888889
Netherlands,NLD,76.5867763888889
New Caledonia,NCL,67.13227222222223
New Zealand,NZL,75.30404583333333
Nicaragua,NIC,59.310609722222225
Niger,NER,44.64933888888889
Nigeria,NGA,44.655006944444445
Niue,NIU,65.4960375
North Korea,PRK,62.37150694444444
North Macedonia,MKD,67.35974722222223
Northern Mariana Islands,MNP,69.76804027777777
Norway,NOR,76.92556111111111
Oman,OMN,59.62645277777778
Pakistan,PAK,56.33711944444445
Palau,PLW,60.47221527777778
Palestine,PSE,62.382529166666664
Panama,PAN,69.22075
Papua New Guinea,PNG,56.07798611111111
Paraguay,PRY,66.25044444444444
Peru,PER,62.289075
Philippines,PHL,64.6534125
Poland,POL,71.05974166666667
Portugal,PRT,72.15888472222223
Puerto Rico,PRI,73.1686888888889
Qatar,QAT,70.14059305555556
Reunion,REU,68.8132375
Romania,ROU,69.31071388888888
Russia,RUS,67.33349166666666
Rwanda,RWA,50.340525
Saint Barthelemy,BLM,70.69597083333333
Saint Helena,SHN,71.5759125
Saint Kitts and Nevis,KNA,64.62246666666667
Saint Lucia,LCA,66.32664027777778
Saint Martin (French part),MAF,73.4783361111111
Saint Pierre and Miquelon,SPM,70.48868611111111
Saint Vincent and the Grenadines,VCT,68.0195
Samoa,WSM,64.41132083333333
San Marino,SMR,76.87911527777779
Sao Tome and Principe,STP,57.26337083333333
Saudi Arabia,SAU,62.758268055555554
Senegal,SEN,51.72304444444445
Serbia,SRB,69.08229722222222
Seychelles,SYC,64.65952083333333
Sierra Leone,SLE,43.46787361111111
Singapore,SGP,72.81500694444445
Sint Maarten (Dutch part),SXM,71.452825
Slovakia,SVK,71.62648888888889
Slovenia,SVN,71.89014027777777
Solomon Islands,SLB,60.460630555555554
Somalia,SOM,47.44033888888889
South Africa,ZAF,57.60307638888889
South Korea,KOR,67.4039125
South Sudan,SSD,38.03310694444444
Spain,ESP,75.53994583333333
Sri Lanka,LKA,67.94568055555555
Sudan,SDN,53.0712375
Suriname,SUR,63.00174583333333
Sweden,SWE,77.16571527777778
Switzerland,CHE,76.74964722222222
Syria,SYR,63.988280555555555
Taiwan,TWN,71.66916527777778
Tajikistan,TJK,60.3226375
Tanzania,TZA,51.44156805555556
Thailand,THA,64.92368472222222
Togo,TGO,51.18703472222222
Tokelau,TKL,66.66818611111111
Tonga,TON,65.27894861111112
Trinidad and Tobago,TTO,67.35386527777777
Tunisia,TUN,62.641487500000004
Turkey,TUR,64.04613888888889
Turkmenistan,TKM,61.23436111111111
Turks and Caicos Islands,TCA,66.83902083333334
Tuvalu,TUV,57.460593055555556
Uganda,UGA,48.98934583333333
Ukraine,UKR,69.20140833333333
United Arab Emirates,ARE,66.1526875
United Kingdom,GBR,75.13918472222223
United States,USA,74.1658013888889
United States Virgin Islands,VIR,69.1235375
Uruguay,URY,72.05457361111111
Uzbekistan,UZB,63.59829583333333
Vanuatu,VUT,61.27035138888889
Venezuela,VEN,67.16043888888889
Vietnam,VNM,65.72974305555556
Wallis and Futuna,WLF,63.12890416666667
Western Sahara,ESH,52.04436388888889
Yemen,YEM,51.64615972222222
Zambia,ZMB,51.564659722222224
Zimbabwe,ZWE,54.24622222222222
